version,duration,total_operations,response_time_avg,response_time_p95,throughput_avg,cpu_avg,memory_avg,overall
v7,0.5510931015014648,999.0,0.22483301162719727,0.22483301162719727,0,16.5,76.2,
v8,0.455280065536499,999.0,0.14252591133117676,0.14252591133117676,0,15.7,76.5,
improvement_pct,,,36.60810292062294,36.60810292062294,0,4.848484848484853,-0.39370078740157105,0.0
