version,duration,total_operations,response_time_avg,response_time_p95,throughput_avg,cpu_avg,memory_avg,overall
v7,0.3689546585083008,500.0,0.04045548439025879,0.04297528266906738,0,0.0,74.5,
v8,0.4199800491333008,500.0,0.04954261779785156,0.05439310073852539,0,16.8,76.3,
improvement_pct,,,-22.462055626210336,-26.568337333302278,0,0.0,-2.4161073825503316,0.0
